#TYPE Selected.System.Management.ManagementObject
"__SERVER","DisplayName","State","startname"
"SHHWSR0393","Encrypting File System (EFS)","Stopped","LocalSystem"
"SHHWSR0393","Windows Event Log","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","COM+ Event System","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Microsoft Fibre Channel Platform Registration Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Function Discovery Provider Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Function Discovery Resource Publication","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Windows Font Cache Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","NT Authority\LocalService"
"SHHWSR0393","Group Policy Client","Running","LocalSystem"
"SHHWSR0393","Human Interface Device Access","Stopped","LocalSystem"
"SHHWSR0393","Health Key and Certificate Management","Stopped","localSystem"
"SHHWSR0393","Windows CardSpace","Stopped","LocalSystem"
"SHHWSR0393","Internet Explorer ETW Collector Service","Stopped","LocalSystem"
"SHHWSR0393","IKE and AuthIP IPsec Keying Modules","Running","LocalSystem"
"SHHWSR0393","Intel Local Scheduler Service","Running","LocalSystem"
"SHHWSR0393","Intel PDS","Running","LocalSystem"
"SHHWSR0393","PnP-X IP Bus Enumerator","Stopped","LocalSystem"
"SHHWSR0393","IP Helper","Running","LocalSystem"
"SHHWSR0393","CNG Key Isolation","Stopped","LocalSystem"
"SHHWSR0393","KtmRm for Distributed Transaction Coordinator","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","LANDesk Policy Invoker","Running","LocalSystem"
"SHHWSR0393","LANDesk Targeted Multicast","Running","LocalSystem"
"SHHWSR0393","Server","Running","LocalSystem"
"SHHWSR0393","Workstation","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","LiveUpdate","Stopped","LocalSystem"
"SHHWSR0393","Link-Layer Topology Discovery Mapper","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","TCP/IP NetBIOS Helper","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Multimedia Class Scheduler","Stopped","LocalSystem"
"SHHWSR0393","Miss Marple Inventory Agent","Running","LocalSystem"
"SHHWSR0393","Miss Marple Updater","Running","LocalSystem"
"SHHWSR0393","Windows Firewall","Running","NT Authority\LocalService"
"SHHWSR0393","Distributed Transaction Coordinator","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","Microsoft iSCSI Initiator Service","Stopped","LocalSystem"
"SHHWSR0393","Windows Installer","Stopped","LocalSystem"
"SHHWSR0393","NetBackup Deduplication Multi-Threaded Agent","Running","LocalSystem"
"SHHWSR0393","Network Access Protection Agent","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","NetBackup BMR MTFTP Service","Stopped","LocalSystem"
"SHHWSR0393","NetBackup BMR PXE Service","Stopped","LocalSystem"
"SHHWSR0393","NetBackup Client Service","Running","LocalSystem"
"SHHWSR0393","NetBackup Discovery Framework","Running","LocalSystem"
"SHHWSR0393","NetBackup Legacy Client Service","Running","LocalSystem"
"SHHWSR0393","NetBackup Legacy Network Service","Running","LocalSystem"
"SHHWSR0393","NetBackup Proxy Service","Stopped","LocalSystem"
"SHHWSR0393","NetBackup SAN Client Fibre Transport Service","Stopped","LocalSystem"
"SHHWSR0393","Netlogon","Running","LocalSystem"
"SHHWSR0393","Network Connections","Running","LocalSystem"
"SHHWSR0393","Net.Msmq Listener Adapter","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","Net.Pipe Listener Adapter","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Network List Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Net.Tcp Listener Adapter","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Net.Tcp Port Sharing Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Network Location Awareness","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","Network Store Interface Service","Running","NT Authority\LocalService"
"SHHWSR0393","Performance Counter DLL Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Performance Logs & Alerts","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Plug and Play","Running","LocalSystem"
"SHHWSR0393","IPsec Policy Agent","Running","NT Authority\NetworkService"
"SHHWSR0393","Power","Running","LocalSystem"
"SHHWSR0393","User Profile Service","Running","LocalSystem"
"SHHWSR0393","Protected Storage","Stopped","LocalSystem"
"SHHWSR0393","Remote Access Auto Connection Manager","Stopped","localSystem"
"SHHWSR0393","Remote Access Connection Manager","Stopped","localSystem"
"SHHWSR0393","Routing and Remote Access","Stopped","localSystem"
"SHHWSR0393","Remote Registry","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","RPC Endpoint Mapper","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","Remote Procedure Call (RPC) Locator","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","Remote Procedure Call (RPC)","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","Resultant Set of Policy Provider","Stopped","LocalSystem"
"SHHWSR0393","Special Administration Console Helper","Stopped","LocalSystem"
"SHHWSR0393","Security Accounts Manager","Running","LocalSystem"
"SHHWSR0393","Smart Card","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Task Scheduler","Running","LocalSystem"
"SHHWSR0393","Smart Card Removal Policy","Stopped","LocalSystem"
"SHHWSR0393","Secondary Logon","Stopped","LocalSystem"
"SHHWSR0393","System Event Notification Service","Running","LocalSystem"
"SHHWSR0393","Symantec Endpoint Protection","Running","LocalSystem"
"SHHWSR0393","Remote Desktop Configuration","Running","localSystem"
"SHHWSR0393","Internet Connection Sharing (ICS)","Stopped","LocalSystem"
"SHHWSR0393","Shell Hardware Detection","Running","LocalSystem"
"SHHWSR0393","Symantec Management Client","Running","LocalSystem"
"SHHWSR0393","Symantec Network Access Control","Stopped","LocalSystem"
"SHHWSR0393","SNMP Service","Running","LocalSystem"
"SHHWSR0393","SNMP Trap","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","LANDesk(R) Software Monitoring Service","Running","LocalSystem"
"SHHWSR0393","Print Spooler","Running","LocalSystem"
"SHHWSR0393","Software Protection","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","SPP Notification Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","SSDP Discovery","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Secure Socket Tunneling Protocol Service","Stopped","NT Authority\LocalService"
"SHHWSR0393","Microsoft Software Shadow Copy Provider","Stopped","LocalSystem"
"SHHWSR0393","Telephony","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","TPM Base Services","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Remote Desktop Services","Running","NT Authority\NetworkService"
"SHHWSR0393","Thread Ordering Server","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Distributed Link Tracking Client","Running","LocalSystem"
"SHHWSR0393","Windows Modules Installer","Running","localSystem"
"SHHWSR0393","Interactive Services Detection","Stopped","LocalSystem"
"SHHWSR0393","Remote Desktop Services UserMode Port Redirector","Running","localSystem"
"SHHWSR0393","UPnP Device Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Desktop Window Manager Session Manager","Running","localSystem"
"SHHWSR0393","Credential Manager","Stopped","LocalSystem"
"SHHWSR0393","Virtual Disk","Stopped","LocalSystem"
"SHHWSR0393","VMware Tools","Running","LocalSystem"
"SHHWSR0393","VMware Snapshot Provider","Stopped","LocalSystem"
"SHHWSR0393","Symantec Private Branch Exchange","Running","LocalSystem"
"SHHWSR0393","Volume Shadow Copy","Stopped","LocalSystem"
"SHHWSR0393","Windows Time","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Windows Process Activation Service","Running","LocalSystem"
"SHHWSR0393","Block Level Backup Engine Service","Stopped","LocalSystem"
"SHHWSR0393","Windows Color System","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Diagnostic Service Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Diagnostic System Host","Stopped","LocalSystem"
"SHHWSR0393","Windows Event Collector","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","Problem Reports and Solutions Control Panel Support","Stopped","localSystem"
"SHHWSR0393","Windows Error Reporting Service","Stopped","localSystem"
"SHHWSR0393","WinHTTP Web Proxy Auto-Discovery Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Windows Management Instrumentation","Running","localSystem"
"SHHWSR0393","Windows Remote Management (WS-Management)","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","WMI Performance Adapter","Stopped","localSystem"
"SHHWSR0393","Portable Device Enumerator Service","Stopped","LocalSystem"
"SHHWSR0393","Windows Update","Running","LocalSystem"
"SHHWSR0393","Windows Driver Foundation - User-mode Driver Framework","Stopped","LocalSystem"
"SHHWSR0428","Application Experience","Stopped","localSystem"
"SHHWSR0428","Application Layer Gateway Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Application Host Helper Service","Running","LocalSystem"
"SHHWSR0428","Application Identity","Stopped","NT Authority\LocalService"
"SHHWSR0428","Application Information","Stopped","LocalSystem"
"SHHWSR0428","Application Management","Stopped","LocalSystem"
"SHHWSR0428","ASP.NET State Service","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","Windows Audio Endpoint Builder","Stopped","LocalSystem"
"SHHWSR0428","Windows Audio","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Base Filtering Engine","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Background Intelligent Transfer Service","Stopped","LocalSystem"
"SHHWSR0428","NetBackup Bare Metal Restore Boot Server","Stopped","LocalSystem"
"SHHWSR0428","Computer Browser","Stopped","LocalSystem"
"SHHWSR0428","LANDesk(R) Management Agent","Running","LocalSystem"
"SHHWSR0428","Certificate Propagation","Running","LocalSystem"
"SHHWSR0428","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","LocalSystem"
"SHHWSR0428","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","LocalSystem"
"SHHWSR0428","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","LocalSystem"
"SHHWSR0428","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","LocalSystem"
"SHHWSR0428","COM+ System Application","Running","LocalSystem"
"SHHWSR0428","Cryptographic Services","Running","NT Authority\NetworkService"
"SHHWSR0428","DCOM Server Process Launcher","Running","LocalSystem"
"SHHWSR0428","Disk Defragmenter","Stopped","localSystem"
"SHHWSR0428","DHCP Client","Running","NT Authority\LocalService"
"SHHWSR0428","Diagnostics Tracking Service","Running","LocalSystem"
"SHHWSR0428","DNS Client","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","Wired AutoConfig","Stopped","localSystem"
"SHHWSR0428","Diagnostic Policy Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Extensible Authentication Protocol","Stopped","localSystem"
"SHHWSR0428","Encrypting File System (EFS)","Stopped","LocalSystem"
"SHHWSR0428","Windows Event Log","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","COM+ Event System","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Microsoft Fibre Channel Platform Registration Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Function Discovery Provider Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Function Discovery Resource Publication","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Windows Font Cache Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","NT Authority\LocalService"
"SHHWSR0428","Group Policy Client","Running","LocalSystem"
"SHHWSR0428","Human Interface Device Access","Stopped","LocalSystem"
"SHHWSR0428","Health Key and Certificate Management","Stopped","localSystem"
"SHHWSR0428","Windows CardSpace","Stopped","LocalSystem"
"SHHWSR0428","Internet Explorer ETW Collector Service","Stopped","LocalSystem"
"SHHWSR0428","IKE and AuthIP IPsec Keying Modules","Running","LocalSystem"
"SHHWSR0428","Intel Local Scheduler Service","Running","LocalSystem"
"SHHWSR0428","Intel PDS","Running","LocalSystem"
"SHHWSR0428","PnP-X IP Bus Enumerator","Stopped","LocalSystem"
"SHHWSR0428","IP Helper","Running","LocalSystem"
"SHHWSR0428","CNG Key Isolation","Stopped","LocalSystem"
"SHHWSR0428","KtmRm for Distributed Transaction Coordinator","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","LANDesk Policy Invoker","Running","LocalSystem"
"SHHWSR0428","LANDesk Targeted Multicast","Running","LocalSystem"
"SHHWSR0428","Server","Running","LocalSystem"
"SHHWSR0428","Workstation","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","LiveUpdate","Stopped","LocalSystem"
"SHHWSR0428","Link-Layer Topology Discovery Mapper","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","TCP/IP NetBIOS Helper","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Multimedia Class Scheduler","Stopped","LocalSystem"
"SHHWSR0428","Miss Marple Inventory Agent","Running","LocalSystem"
"SHHWSR0428","Miss Marple Updater","Running","LocalSystem"
"SHHWSR0428","Windows Firewall","Running","NT Authority\LocalService"
"SHHWSR0428","Distributed Transaction Coordinator","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","Microsoft iSCSI Initiator Service","Stopped","LocalSystem"
"SHHWSR0428","Windows Installer","Stopped","LocalSystem"
"SHHWSR0428","NetBackup Deduplication Multi-Threaded Agent","Running","LocalSystem"
"SHHWSR0428","Network Access Protection Agent","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","NetBackup BMR MTFTP Service","Stopped","LocalSystem"
"SHHWSR0428","NetBackup BMR PXE Service","Stopped","LocalSystem"
"SHHWSR0428","NetBackup Client Service","Running","LocalSystem"
"SHHWSR0428","NetBackup Discovery Framework","Running","LocalSystem"
"SHHWSR0428","NetBackup Legacy Client Service","Running","LocalSystem"
"SHHWSR0428","NetBackup Legacy Network Service","Running","LocalSystem"
"SHHWSR0428","NetBackup Proxy Service","Stopped","LocalSystem"
"SHHWSR0428","NetBackup SAN Client Fibre Transport Service","Stopped","LocalSystem"
"SHHWSR0428","Netlogon","Running","LocalSystem"
"SHHWSR0428","Network Connections","Running","LocalSystem"
"SHHWSR0428","Net.Msmq Listener Adapter","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","Net.Pipe Listener Adapter","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Network List Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Net.Tcp Listener Adapter","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Net.Tcp Port Sharing Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Network Location Awareness","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","Network Store Interface Service","Running","NT Authority\LocalService"
"SHHWSR0428","Performance Counter DLL Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Performance Logs & Alerts","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Plug and Play","Running","LocalSystem"
"SHHWSR0428","IPsec Policy Agent","Running","NT Authority\NetworkService"
"SHHWSR0428","Power","Running","LocalSystem"
"SHHWSR0428","User Profile Service","Running","LocalSystem"
"SHHWSR0428","Protected Storage","Stopped","LocalSystem"
"SHHWSR0428","Remote Access Auto Connection Manager","Stopped","localSystem"
"SHHWSR0428","Remote Access Connection Manager","Stopped","localSystem"
"SHHWSR0428","Routing and Remote Access","Stopped","localSystem"
"SHHWSR0428","Remote Registry","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","RPC Endpoint Mapper","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","Remote Procedure Call (RPC) Locator","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","Remote Procedure Call (RPC)","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","Resultant Set of Policy Provider","Stopped","LocalSystem"
"SHHWSR0428","Special Administration Console Helper","Stopped","LocalSystem"
"SHHWSR0428","Security Accounts Manager","Running","LocalSystem"
"SHHWSR0428","Smart Card","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Task Scheduler","Running","LocalSystem"
"SHHWSR0428","Smart Card Removal Policy","Stopped","LocalSystem"
"SHHWSR0428","Start SchindlerDraw Dispatcher","Running","svcshhldworker@global.schindler.com"
"SHHWSR0428","Secondary Logon","Stopped","LocalSystem"
"SHHWSR0428","System Event Notification Service","Running","LocalSystem"
"SHHWSR0428","Symantec Endpoint Protection","Running","LocalSystem"
"SHHWSR0428","Remote Desktop Configuration","Running","localSystem"
"SHHWSR0428","Internet Connection Sharing (ICS)","Stopped","LocalSystem"
"SHHWSR0428","Shell Hardware Detection","Running","LocalSystem"
"SHHWSR0428","Symantec Management Client","Running","LocalSystem"
"SHHWSR0428","Symantec Network Access Control","Stopped","LocalSystem"
"SHHWSR0428","SNMP Service","Running","LocalSystem"
"SHHWSR0428","SNMP Trap","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","LANDesk(R) Software Monitoring Service","Running","LocalSystem"
"SHHWSR0428","Print Spooler","Running","LocalSystem"
"SHHWSR0428","Software Protection","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","SPP Notification Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","SSDP Discovery","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Secure Socket Tunneling Protocol Service","Stopped","NT Authority\LocalService"
"SHHWSR0428","Microsoft Software Shadow Copy Provider","Stopped","LocalSystem"
"SHHWSR0428","Telephony","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","TPM Base Services","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Remote Desktop Services","Running","NT Authority\NetworkService"
"SHHWSR0428","Thread Ordering Server","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Distributed Link Tracking Client","Running","LocalSystem"
"SHHWSR0428","Windows Modules Installer","Stopped","localSystem"
"SHHWSR0428","Interactive Services Detection","Stopped","LocalSystem"
"SHHWSR0428","Remote Desktop Services UserMode Port Redirector","Running","localSystem"
"SHHWSR0428","UPnP Device Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Desktop Window Manager Session Manager","Running","localSystem"
"SHHWSR0428","Credential Manager","Stopped","LocalSystem"
"SHHWSR0428","Virtual Disk","Stopped","LocalSystem"
"SHHWSR0428","VMware Tools","Running","LocalSystem"
"SHHWSR0428","VMware Snapshot Provider","Stopped","LocalSystem"
"SHHWSR0428","Symantec Private Branch Exchange","Running","LocalSystem"
"SHHWSR0428","Volume Shadow Copy","Stopped","LocalSystem"
"SHHWSR0428","Windows Time","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","World Wide Web Publishing Service","Running","LocalSystem"
"SHHWSR0428","Windows Process Activation Service","Running","LocalSystem"
"SHHWSR0428","Block Level Backup Engine Service","Stopped","LocalSystem"
"SHHWSR0428","Windows Color System","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Diagnostic Service Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0428","Diagnostic System Host","Stopped","LocalSystem"
"SHHWSR0428","Windows Event Collector","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0428","Problem Reports and Solutions Control Panel Support","Stopped","localSystem"
"SHHWSR0428","Windows Error Reporting Service","Stopped","localSystem"
"SHHWSR0428","WinHTTP Web Proxy Auto-Discovery Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0428","Windows Management Instrumentation","Running","localSystem"
"SHHWSR0428","Windows Remote Management (WS-Management)","Running","NT AUTHORITY\NetworkService"
"SHHWSR0428","WMI Performance Adapter","Stopped","localSystem"
"SHHWSR0428","Portable Device Enumerator Service","Stopped","LocalSystem"
"SHHWSR0428","Windows Update","Running","LocalSystem"
"SHHWSR0428","Windows Driver Foundation - User-mode Driver Framework","Stopped","LocalSystem"
"SHHWSR0505","Application Experience","Stopped","localSystem"
"SHHWSR0505","Application Layer Gateway Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","Application Host Helper Service","Running","LocalSystem"
"SHHWSR0505","Application Identity","Stopped","NT Authority\LocalService"
"SHHWSR0505","Application Information","Stopped","LocalSystem"
"SHHWSR0505","Application Management","Stopped","LocalSystem"
"SHHWSR0505","ASP.NET State Service","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0505","Windows Audio Endpoint Builder","Stopped","LocalSystem"
"SHHWSR0505","Windows Audio","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","Base Filtering Engine","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","Background Intelligent Transfer Service","Stopped","LocalSystem"
"SHHWSR0505","Computer Browser","Stopped","LocalSystem"
"SHHWSR0505","LANDesk(R) Management Agent","Running","LocalSystem"
"SHHWSR0505","Certificate Propagation","Running","LocalSystem"
"SHHWSR0505","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","LocalSystem"
"SHHWSR0505","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","LocalSystem"
"SHHWSR0505","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","LocalSystem"
"SHHWSR0505","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","LocalSystem"
"SHHWSR0505","COM+ System Application","Stopped","LocalSystem"
"SHHWSR0505","Cryptographic Services","Running","NT Authority\NetworkService"
"SHHWSR0505","DCOM Server Process Launcher","Running","LocalSystem"
"SHHWSR0505","Disk Defragmenter","Stopped","localSystem"
"SHHWSR0505","DHCP Client","Running","NT Authority\LocalService"
"SHHWSR0505","Diagnostics Tracking Service","Running","LocalSystem"
"SHHWSR0505","DNS Client","Running","NT AUTHORITY\NetworkService"
"SHHWSR0505","Wired AutoConfig","Stopped","localSystem"
"SHHWSR0505","Diagnostic Policy Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","Extensible Authentication Protocol","Stopped","localSystem"
"SHHWSR0505","Encrypting File System (EFS)","Stopped","LocalSystem"
"SHHWSR0505","Windows Event Log","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","COM+ Event System","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","Microsoft Fibre Channel Platform Registration Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","Function Discovery Provider Host","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","Function Discovery Resource Publication","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","Windows Font Cache Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","NT Authority\LocalService"
"SHHWSR0505","Group Policy Client","Running","LocalSystem"
"SHHWSR0505","Human Interface Device Access","Stopped","LocalSystem"
"SHHWSR0505","Health Key and Certificate Management","Stopped","localSystem"
"SHHWSR0505","IBM Domino Diagnostics (CLotusDomino)","Running","LocalSystem"
"SHHWSR0505","IBM Domino Server (DLotusDominodata)","Running","LocalSystem"
"SHHWSR0505","Windows CardSpace","Stopped","LocalSystem"
"SHHWSR0505","Internet Explorer ETW Collector Service","Stopped","LocalSystem"
"SHHWSR0505","IKE and AuthIP IPsec Keying Modules","Running","LocalSystem"
"SHHWSR0505","Intel Local Scheduler Service","Running","LocalSystem"
"SHHWSR0505","Intel PDS","Running","LocalSystem"
"SHHWSR0505","PnP-X IP Bus Enumerator","Stopped","LocalSystem"
"SHHWSR0505","IP Helper","Running","LocalSystem"
"SHHWSR0505","CNG Key Isolation","Stopped","LocalSystem"
"SHHWSR0505","KtmRm for Distributed Transaction Coordinator","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0505","LANDesk Policy Invoker","Running","LocalSystem"
"SHHWSR0505","LANDesk Targeted Multicast","Running","LocalSystem"
"SHHWSR0505","Server","Running","LocalSystem"
"SHHWSR0505","Workstation","Running","NT AUTHORITY\NetworkService"
"SHHWSR0505","LiveUpdate","Stopped","LocalSystem"
"SHHWSR0505","Link-Layer Topology Discovery Mapper","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0505","TCP/IP NetBIOS Helper","Running","NT AUTHORITY\LocalService"
"SHHWSR0505","Multimedia Class Scheduler","Stopped","LocalSystem"
"SHHWSR0505","Miss Marple Inventory Agent","Running","LocalSystem"
"SHHWSR0505","Miss Marple Updater","Running","LocalSystem"
"SHHWSR0505","Windows Firewall","Running","NT Authority\LocalService"
"SHHWSR0505","Distributed Transaction Coordinator","Running","NT AUTHORITY\NetworkService"
"SHHWSR0505","Microsoft iSCSI Initiator Service","Stopped","LocalSystem"
"SHHWSR0505","Windows Installer","Stopped","LocalSystem"
"SHHWSR0505","NetBackup Deduplication Multi-Threaded Agent","Running","LocalSystem"
"SHHWSR0505","Network Access Protection Agent","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0505","NetBackup Client Service","Running","LocalSystem"
"SHHWSR0505","NetBackup Discovery Framework","Stopped","LocalSystem"
"SHHWSR0505","NetBackup Legacy Client Service","Running","LocalSystem"
"SHHWSR0505","NetBackup Legacy Network Service","Running","LocalSystem"
"SHHWSR0505","NetBackup Proxy Service","Stopped","LocalSystem"
"SHHWSR0505","NetBackup SAN Client Fibre Transport Service","Stopped","LocalSystem"
"SHHWSR0505","Netlogon","Running","LocalSystem"
"SHHWSR0505","Network Connections","Running","LocalSystem"
"SHHWSR0505","Net.Msmq Listener Adapter","Stopped","NT AUTHORITY\NetworkService"
